Weather Data
Graph
Table
"February 17, 2025"
Time Temperature Dew Point Humidity Wind Speed Gust Pressure Precip. Rate. Precip. Accum. UV Solar
12:00 AM 26.4 °F 22.0 °F 82 % West 0.0 mph 0.0 mph 30.24 in 0.00 in 0.00 in w/m²
12:15 AM 26.2 °F 21.0 °F 80 % SW 0.0 mph 0.0 mph 30.24 in 0.00 in 0.00 in w/m²
12:30 AM 26.0 °F 20.0 °F 77 % SW 0.0 mph 0.0 mph 30.25 in 0.00 in 0.00 in w/m²
12:45 AM 25.7 °F 19.0 °F 77 % SW 0.0 mph 0.0 mph 30.26 in 0.00 in 0.00 in w/m²
1:00 AM 25.3 °F 19.0 °F 76 % WSW 0.0 mph 0.0 mph 30.27 in 0.00 in 0.00 in w/m²
1:15 AM 25.1 °F 18.0 °F 74 % West 0.0 mph 0.0 mph 30.27 in 0.00 in 0.00 in w/m²
1:30 AM 25.2 °F 18.0 °F 75 % South 1.0 mph 15.0 mph 30.28 in 0.00 in 0.00 in w/m²
1:45 AM 25.1 °F 18.0 °F 74 % SW 11.0 mph 16.0 mph 30.29 in 0.00 in 0.00 in w/m²
2:00 AM 25.0 °F 17.0 °F 73 % SW 8.0 mph 18.0 mph 30.29 in 0.00 in 0.00 in w/m²
2:15 AM 24.9 °F 18.0 °F 74 % SW 0.0 mph 13.0 mph 30.30 in 0.00 in 0.00 in w/m²
2:30 AM 24.5 °F 17.0 °F 74 % South 0.0 mph 9.0 mph 30.30 in 0.00 in 0.00 in w/m²
2:45 AM 24.0 °F 17.0 °F 74 % SW 5.0 mph 12.0 mph 30.31 in 0.00 in 0.00 in w/m²
3:00 AM 23.7 °F 17.0 °F 74 % WSW 4.0 mph 12.0 mph 30.31 in 0.00 in 0.00 in w/m²
3:15 AM 23.5 °F 17.0 °F 75 % SW 0.0 mph 10.0 mph 30.32 in 0.00 in 0.00 in w/m²
3:30 AM 23.2 °F 17.0 °F 76 % West 0.0 mph 8.0 mph 30.31 in 0.00 in 0.00 in w/m²
